iso,Governance (G): Accessibility coverage & data,Governance (G): Data management,Governance (G): Data sharing frameworks,Governance (G): Data protection,Governance (G): Language coverage & data,Governance (G): Open data policy,Governance,Country Name,Governance (G): Accessibility coverage & data,Governance (G): Data management,Governance (G): Data sharing frameworks,Governance (G): Data protection,Governance (G): Language coverage & data,Governance (G): Open data policy,Governance
AGO,0,0,0,70,0,0,14,Angola,0,0,0,70,0,0,14
ALB,40,30,0,90,45,40,40,Albania,40,30,0,90,45,40,40
ARE,0,56,42,0,0,20,24,United Arab Emirates,0,56,42,0,0,20,24
ARG,40,60,16,80,0,72,54,Argentina,40,60,16,80,0,72,54
ARM,100,30,40,80,100,0,50,Armenia,100,30,40,80,100,0,50
AUS,90,63,57,24,0,81,63,Australia,90,63,57,24,0,81,63
AZE,0,0,31,72,0,10,23,Azerbaijan,0,0,31,72,0,10,23
BEN,0,0,0,90,0,0,18,Benin,0,0,0,90,0,0,18
BFA,0,90,20,32,0,54,39,Burkina Faso,0,90,20,32,0,54,39
BGD,0,54,15,0,0,63,26,Bangladesh,0,54,15,0,0,63,26
BGR,50,10,0,100,0,70,46,Bulgaria,50,10,0,100,0,70,46
BHR,0,0,0,90,0,63,31,Bahrain,0,0,0,90,0,63,31
BHS,0,0,0,64,0,63,25,Bahamas,0,0,0,64,0,63,25
BLR,0,0,0,0,0,0,0,Belarus,0,0,0,0,0,0,0
BLZ,0,0,0,72,0,36,22,Belize,0,0,0,72,0,36,22
BOL,0,54,24,8,20,63,30,Bolivia (Plurinational State of),0,54,24,8,20,63,30
BRA,76,80,20,90,90,72,68,Brazil,76,80,20,90,90,72,68
BWA,100,80,0,46,90,0,45,Botswana,100,80,0,46,90,0,45
CAN,76,68,20,75,100,90,66,Canada,76,68,20,75,100,90,66
CHL,40,38,40,48,0,50,43,Chile,40,38,40,48,0,50,43
CHN,24,38,60,33,90,19,35,China,24,38,60,33,90,19,35
CIV,0,28,36,90,0,0,31,Côte d'Ivoire,0,28,36,90,0,0,31
CMR,0,0,65,62,0,0,25,Cameroon,0,0,65,62,0,0,25
COL,90,90,80,40,0,80,76,Colombia,90,90,80,40,0,80,76
CRI,50,31,0,80,0,38,40,Costa Rica,50,31,0,80,0,38,40
CZE,59,14,18,64,0,80,47,Czechia,59,14,18,64,0,80,47
DEU,70,50,63,100,22,50,67,Germany,70,50,63,100,22,50,67
DNK,59,34,40,100,0,0,46,Denmark,59,34,40,100,0,0,46
DOM,0,36,0,43,0,54,27,Dominican Republic,0,36,0,43,0,54,27
ECU,32,6,0,0,0,76,23,Ecuador,32,6,0,0,0,76,23
EGY,0,0,0,85,45,0,17,Egypt,0,0,0,85,45,0,17
ESP,100,80,36,100,50,70,77,Spain,100,80,36,100,50,70,77
EST,60,10,50,100,0,50,54,Estonia,60,10,50,100,0,50,54
FIN,100,0,30,100,0,30,52,Finland,100,0,30,100,0,30,52
FRA,40,46,80,80,0,80,65,France,40,46,80,80,0,80,65
GBR,76,54,60,77,18,50,63,United Kingdom of Great Britain and Northern Ireland,76,54,60,77,18,50,63
GEO,40,0,0,77,0,0,24,Georgia,40,0,0,77,0,0,24
GHA,0,70,0,90,0,0,32,Ghana,0,70,0,90,0,0,32
GMB,59,0,0,72,0,0,26,Gambia,59,0,0,72,0,0,26
GRC,0,0,38,84,0,60,36,Greece,0,0,38,84,0,60,36
GTM,0,19,0,29,0,44,18,Guatemala,0,19,0,29,0,44,18
GUY,0,0,0,0,0,0,0,Guyana,0,0,0,0,0,0,0
HKG,40,0,16,64,45,54,35,"China, Hong Kong Special Administrative Region",40,0,16,64,45,54,35
HND,59,38,0,58,45,0,31,Honduras,59,38,0,58,45,0,31
HRV,50,32,20,100,0,0,40,Croatia,50,32,20,100,0,0,40
HTI,0,0,0,0,0,0,0,Haiti,0,0,0,0,0,0,0
IDN,40,54,36,0,90,0,26,Indonesia,40,54,36,0,90,0,26
IND,24,90,0,48,0,90,50,India,24,90,0,48,0,90,50
IRL,24,72,20,100,0,72,58,Ireland,24,72,20,100,0,72,58
ISR,80,0,18,72,0,54,45,Israel,80,0,18,72,0,54,45
ITA,90,40,24,100,0,50,61,Italy,90,40,24,100,0,50,61
JAM,0,27,0,80,0,0,21,Jamaica,0,27,0,80,0,0,21
JOR,40,20,50,0,0,63,35,Jordan,40,20,50,0,0,63,35
KAZ,0,72,0,80,45,50,40,Kazakhstan,0,72,0,80,45,50,40
KEN,100,10,50,70,0,0,46,Kenya,100,10,50,70,0,0,46
KGZ,40,0,0,48,0,0,18,Kyrgyz Republic,40,0,0,48,0,0,18
KHM,0,0,0,3,0,0,1,Cambodia,0,0,0,3,0,0,1
KOR,76,100,40,90,90,90,79,Republic of Korea,76,100,40,90,90,90,79
LBR,0,0,0,0,0,0,0,Liberia,0,0,0,0,0,0,0
LCA,40,0,0,65,0,81,37,Saint Lucia,40,0,0,65,0,81,37
LKA,24,0,0,0,0,0,5,Sri Lanka,24,0,0,0,0,0,5
LTU,40,44,27,100,0,36,50,Lithuania,40,44,27,100,0,36,50
LVA,0,6,0,100,22,81,37,Latvia,0,6,0,100,22,81,37
MAR,0,0,0,43,0,0,9,Morocco,0,0,0,43,0,0,9
MDA,40,18,60,80,0,36,47,Republic of Moldova,40,18,60,80,0,36,47
MEX,32,40,45,64,22,80,52,Mexico,32,40,45,64,22,80,52
MLT,80,50,20,90,0,0,48,Malta,80,50,20,90,0,0,48
MNG,0,36,30,40,50,54,32,Mongolia,0,36,30,40,50,54,32
MOZ,0,0,60,0,0,0,12,Mozambique,0,0,60,0,0,0,12
MWI,40,0,42,48,0,28,32,Malawi,40,0,42,48,0,28,32
MYS,77,0,49,58,100,54,47,Malaysia,77,0,49,58,100,54,47
NAM,40,0,0,45,0,0,17,Namibia,40,0,0,45,0,0,17
NCL,0,46,50,90,0,80,53,New Caledonia,0,46,50,90,0,80,53
NGA,0,54,23,65,0,6,30,Nigeria,0,54,23,65,0,6,30
NLD,59,36,40,85,0,42,52,Netherlands,59,36,40,85,0,42,52
NPL,0,0,0,50,0,0,10,Nepal,0,0,0,50,0,0,10
NZL,77,45,100,90,25,81,78,New Zealand,77,45,100,90,25,81,78
OMN,0,0,0,0,0,54,11,Oman,0,0,0,0,0,54,11
PAN,0,36,0,56,0,63,31,Panama,0,36,0,56,0,63,31
PER,59,45,45,56,0,54,52,Peru,59,45,45,56,0,54,52
PHL,24,0,72,90,0,50,47,Philippines,24,0,72,90,0,50,47
PRT,59,10,0,100,0,70,48,Portugal,59,10,0,100,0,70,48
PRY,40,32,54,54,0,34,43,Paraguay,40,32,54,54,0,34,43
PSE,0,13,0,0,0,38,10,State of Palestine,0,13,0,0,0,38,10
QAT,0,0,0,80,0,40,24,Qatar,0,0,0,80,0,40,24
ROU,80,40,20,100,0,30,54,Romania,80,40,20,100,0,30,54
RUS,24,35,31,32,0,54,35,Russian Federation,24,35,31,32,0,54,35
RWA,0,50,72,16,75,63,40,Rwanda,0,50,72,16,75,63,40
SAU,0,72,36,58,0,63,46,Saudi Arabia,0,72,36,58,0,63,46
SEN,0,0,0,64,0,0,13,Senegal,0,0,0,64,0,0,13
SLE,40,0,0,0,0,0,8,Sierra Leone,40,0,0,0,0,0,8
SLV,40,0,10,0,0,0,10,El Salvador,40,0,10,0,0,0,10
SVK,40,80,18,90,0,63,58,Slovakia,40,80,18,90,0,63,58
SWE,40,38,40,100,0,0,44,Sweden,40,38,40,100,0,0,44
TGO,0,0,9,54,0,0,13,Togo,0,0,9,54,0,0,13
THA,40,57,16,72,0,70,51,Thailand,40,57,16,72,0,70,51
TJK,0,0,20,50,0,38,22,Tajikistan,0,0,20,50,0,38,22
TKM,0,0,0,48,0,0,10,Turkmenistan,0,0,0,48,0,0,10
TTO,40,0,0,46,0,0,17,Trinidad and Tobago,40,0,0,46,0,0,17
TUN,0,40,60,70,0,80,50,Tunisia,0,40,60,70,0,80,50
TWN,50,45,45,49,0,72,52,Taiwan,50,45,45,49,0,72,52
UGA,40,80,27,100,100,0,50,Uganda,40,80,27,100,100,0,50
UKR,24,60,24,64,0,80,51,Ukraine,24,60,24,64,0,80,51
URY,59,90,50,80,0,80,72,Uruguay,59,90,50,80,0,80,72
USA,34,57,8,46,40,42,38,United States of America,34,57,8,46,40,42,38
UZB,24,61,40,66,40,69,52,Uzbekistan,24,61,40,66,40,69,52
VNM,40,54,63,36,90,36,46,Viet Nam,40,54,63,36,90,36,46
XKX,0,0,60,72,0,54,37,Kosovo,0,0,60,72,0,54,37
ZAF,0,60,0,100,0,0,32,South Africa,0,60,0,100,0,0,32
