iso,Governance (G): Accessibility coverage & data,Governance (G): Data management,Governance (G): Data sharing frameworks,Governance (G): Data protection,Governance (G): Language coverage & data,Governance (G): Open data policy,Governance,Country Name,Region Name
AGO,0,0,0,70,0,0,14,Angola,Africa
ALB,40,30,0,90,45,40,40,Albania,Europe
ARE,0,56,42,0,0,20,24,United Arab Emirates,Asia
ARG,40,60,16,80,0,72,54,Argentina,Americas
ARM,100,30,40,80,100,0,50,Armenia,Asia
AUS,90,63,57,24,0,81,63,Australia,Oceania
AZE,0,0,31,72,0,10,23,Azerbaijan,Asia
BEN,0,0,0,90,0,0,18,Benin,Africa
BFA,0,90,20,32,0,54,39,Burkina Faso,Africa
BGD,0,54,15,0,0,63,26,Bangladesh,Asia
BGR,50,10,0,100,0,70,46,Bulgaria,Europe
BHR,0,0,0,90,0,63,31,Bahrain,Asia
BHS,0,0,0,64,0,63,25,Bahamas,Americas
BLR,0,0,0,0,0,0,0,Belarus,Europe
BLZ,0,0,0,72,0,36,22,Belize,Americas
BOL,0,54,24,8,20,63,30,Bolivia (Plurinational State of),Americas
BRA,76,80,20,90,90,72,68,Brazil,Americas
BWA,100,80,0,46,90,0,45,Botswana,Africa
CAN,76,68,20,75,100,90,66,Canada,Americas
CHL,40,38,40,48,0,50,43,Chile,Americas
CHN,24,38,60,33,90,19,35,China,Asia
CIV,0,28,36,90,0,0,31,Côte d'Ivoire,Africa
CMR,0,0,65,62,0,0,25,Cameroon,Africa
COL,90,90,80,40,0,80,76,Colombia,Americas
CRI,50,31,0,80,0,38,40,Costa Rica,Americas
CZE,59,14,18,64,0,80,47,Czechia,Europe
DEU,70,50,63,100,22,50,67,Germany,Europe
DNK,59,34,40,100,0,0,46,Denmark,Europe
DOM,0,36,0,43,0,54,27,Dominican Republic,Americas
ECU,32,6,0,0,0,76,23,Ecuador,Americas
EGY,0,0,0,85,45,0,17,Egypt,Africa
ESP,100,80,36,100,50,70,77,Spain,Europe
EST,60,10,50,100,0,50,54,Estonia,Europe
FIN,100,0,30,100,0,30,52,Finland,Europe
FRA,40,46,80,80,0,80,65,France,Europe
GBR,76,54,60,77,18,50,63,United Kingdom of Great Britain and Northern Ireland,Europe
GEO,40,0,0,77,0,0,24,Georgia,Asia
GHA,0,70,0,90,0,0,32,Ghana,Africa
GMB,59,0,0,72,0,0,26,Gambia,Africa
GRC,0,0,38,84,0,60,36,Greece,Europe
GTM,0,19,0,29,0,44,18,Guatemala,Americas
GUY,0,0,0,0,0,0,0,Guyana,Americas
HKG,40,0,16,64,45,54,35,"China, Hong Kong Special Administrative Region",Asia
HND,59,38,0,58,45,0,31,Honduras,Americas
HRV,50,32,20,100,0,0,40,Croatia,Europe
HTI,0,0,0,0,0,0,0,Haiti,Americas
IDN,40,54,36,0,90,0,26,Indonesia,Asia
IND,24,90,0,48,0,90,50,India,Asia
IRL,24,72,20,100,0,72,58,Ireland,Europe
ISR,80,0,18,72,0,54,45,Israel,Asia
ITA,90,40,24,100,0,50,61,Italy,Europe
JAM,0,27,0,80,0,0,21,Jamaica,Americas
JOR,40,20,50,0,0,63,35,Jordan,Asia
KAZ,0,72,0,80,45,50,40,Kazakhstan,Asia
KEN,100,10,50,70,0,0,46,Kenya,Africa
KGZ,40,0,0,48,0,0,18,Kyrgyz Republic,Asia
KHM,0,0,0,3,0,0,1,Cambodia,Asia
KOR,76,100,40,90,90,90,79,Republic of Korea,Asia
LBR,0,0,0,0,0,0,0,Liberia,Africa
LCA,40,0,0,65,0,81,37,Saint Lucia,Americas
LKA,24,0,0,0,0,0,5,Sri Lanka,Asia
LTU,40,44,27,100,0,36,50,Lithuania,Europe
LVA,0,6,0,100,22,81,37,Latvia,Europe
MAR,0,0,0,43,0,0,9,Morocco,Africa
MDA,40,18,60,80,0,36,47,Republic of Moldova,Europe
MEX,32,40,45,64,22,80,52,Mexico,Americas
MLT,80,50,20,90,0,0,48,Malta,Europe
MNG,0,36,30,40,50,54,32,Mongolia,Asia
MOZ,0,0,60,0,0,0,12,Mozambique,Africa
MWI,40,0,42,48,0,28,32,Malawi,Africa
MYS,77,0,49,58,100,54,47,Malaysia,Asia
NAM,40,0,0,45,0,0,17,Namibia,Africa
NCL,0,46,50,90,0,80,53,New Caledonia,Oceania
NGA,0,54,23,65,0,6,30,Nigeria,Africa
NLD,59,36,40,85,0,42,52,Netherlands,Europe
NPL,0,0,0,50,0,0,10,Nepal,Asia
NZL,77,45,100,90,25,81,78,New Zealand,Oceania
OMN,0,0,0,0,0,54,11,Oman,Asia
PAN,0,36,0,56,0,63,31,Panama,Americas
PER,59,45,45,56,0,54,52,Peru,Americas
PHL,24,0,72,90,0,50,47,Philippines,Asia
PRT,59,10,0,100,0,70,48,Portugal,Europe
PRY,40,32,54,54,0,34,43,Paraguay,Americas
PSE,0,13,0,0,0,38,10,State of Palestine,Asia
QAT,0,0,0,80,0,40,24,Qatar,Asia
ROU,80,40,20,100,0,30,54,Romania,Europe
RUS,24,35,31,32,0,54,35,Russian Federation,Europe
RWA,0,50,72,16,75,63,40,Rwanda,Africa
SAU,0,72,36,58,0,63,46,Saudi Arabia,Asia
SEN,0,0,0,64,0,0,13,Senegal,Africa
SLE,40,0,0,0,0,0,8,Sierra Leone,Africa
SLV,40,0,10,0,0,0,10,El Salvador,Americas
SVK,40,80,18,90,0,63,58,Slovakia,Europe
SWE,40,38,40,100,0,0,44,Sweden,Europe
TGO,0,0,9,54,0,0,13,Togo,Africa
THA,40,57,16,72,0,70,51,Thailand,Asia
TJK,0,0,20,50,0,38,22,Tajikistan,Asia
TKM,0,0,0,48,0,0,10,Turkmenistan,Asia
TTO,40,0,0,46,0,0,17,Trinidad and Tobago,Americas
TUN,0,40,60,70,0,80,50,Tunisia,Africa
TWN,50,45,45,49,0,72,52,Taiwan,Asia
UGA,40,80,27,100,100,0,50,Uganda,Africa
UKR,24,60,24,64,0,80,51,Ukraine,Europe
URY,59,90,50,80,0,80,72,Uruguay,Americas
USA,34,57,8,46,40,42,38,United States of America,Americas
UZB,24,61,40,66,40,69,52,Uzbekistan,Asia
VNM,40,54,63,36,90,36,46,Viet Nam,Asia
XKX,0,0,60,72,0,54,37,Kosovo,Europe
ZAF,0,60,0,100,0,0,32,South Africa,Africa
